VALUE,COUNT,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL
402,2,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern Great Lakes Interdunal Wetland,Riparian,A
403,443,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN
404,20,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,C
405,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian Pine Barrens,Conifer,UN
406,232,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Developed-Low Intensity,Developed-Low Intensity,Urban
407,21,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Floodplain Shrubland,Riparian,A
408,11,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Great Lakes Wooded Dune and Swale,Riparian,UN
409,111,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN
410,1,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Great Lakes Wooded Dune and Swale,Riparian,B
411,23,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,UN
412,184,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
413,5,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Alkaline Fen,Riparian,A
414,79,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Shrubland,Developed,Urban
415,6,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Northern Great Lakes Coastal Marsh,Riparian,A
416,5,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Great Lakes Wooded Dune and Swale,Riparian,UN
417,511,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
418,259,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,B
419,2,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Northern Great Lakes Coastal Marsh,Riparian,UN
420,62,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Developed-High Intensity,Developed-High Intensity,Urban
421,15,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian Bog,Riparian,UN
422,779,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Recently Logged-Tree Cover,Conifer,D
423,621,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
424,6888,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
425,640,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
426,954,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE
427,77,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,C
428,198,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE
429,339,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
430,207,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE
431,53,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE
432,789,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban
433,124448,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
434,362,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
435,638,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,D
436,734,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C
437,434746,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,E
438,29708,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,E
439,227,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE
440,11,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,UN
441,1468,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE
442,634,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE
443,48,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,UN
444,137,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture
445,106,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE
446,2,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Orchard,Agricultural,Agriculture
447,19,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE
448,109,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Shrubland,Developed,Urban
449,249,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE
